lat,lon,month,dissolved_oxygen
-15.0,-30.0,2,192.43586206896552
-15.0,-25.0,2,196.25372413793102
-15.0,-10.0,2,174.53386206896545
-15.0,-5.0,2,165.67358620689657
-10.0,-100.0,2,127.53165517241378
-10.0,-95.0,2,118.98655172413793
-10.0,-90.0,2,82.82182758620688
-10.0,-85.0,2,73.21162068965516
-10.0,-80.0,2,53.477310344827586
-10.0,-35.0,2,184.86637931034483
-10.0,-30.0,2,178.59841379310345
-10.0,-15.0,2,160.32065517241378
-10.0,-10.0,2,154.7366896551724
-10.0,-5.0,2,146.62872413793102
-5.0,-100.0,2,110.25472413793102
-5.0,-95.0,2,122.51586206896552
-5.0,-90.0,2,100.34096551724137
-5.0,-85.0,2,91.67437931034482
-5.0,-40.0,2,190.4583793103448
-5.0,-35.0,2,182.0874827586207
-5.0,-30.0,2,160.0982413793103
-5.0,-25.0,2,184.3430909090909
-5.0,-20.0,2,183.04313636363636
-5.0,-15.0,2,152.54248275862068
-5.0,-10.0,2,144.92096551724137
-5.0,-5.0,2,148.54275862068965
0.0,-100.0,2,104.05227586206897
0.0,-95.0,2,124.91937931034481
0.0,-90.0,2,101.8425172413793
0.0,-85.0,2,89.11337931034481
0.0,-80.0,2,92.20637931034481
0.0,-50.0,2,186.17644827586207
0.0,-45.0,2,187.04203448275862
0.0,-40.0,2,183.76672413793105
0.0,-35.0,2,177.52327586206894
0.0,-30.0,2,168.19989655172412
0.0,-25.0,2,156.24208695652172
0.0,-20.0,2,184.73633333333333
0.0,-15.0,2,142.25117241379309
0.0,-10.0,2,142.23444827586206
0.0,-5.0,2,138.28382758620688
5.0,-100.0,2,83.75175862068967
5.0,-95.0,2,82.92572413793106
5.0,-90.0,2,55.50503448275862
5.0,-85.0,2,83.02720689655172
5.0,-80.0,2,92.25882758620689
5.0,-60.0,2,171.49817241379313
5.0,-55.0,2,184.58248275862067
5.0,-50.0,2,178.0163793103448
5.0,-45.0,2,177.68955172413794
5.0,-40.0,2,179.65496551724138
5.0,-35.0,2,171.86810344827583
5.0,-30.0,2,153.30889655172413
5.0,-25.0,2,141.7506896551724
5.0,-20.0,2,117.0118275862069
5.0,-15.0,2,115.85189655172415
10.0,-100.0,2,91.63258620689655
10.0,-95.0,2,90.6163448275862
10.0,-90.0,2,65.67586206896551
10.0,-80.0,2,181.5647777777778
10.0,-75.0,2,185.25527586206897
10.0,-70.0,2,175.13941379310344
10.0,-65.0,2,176.7345517241379
10.0,-60.0,2,186.4743793103449
10.0,-55.0,2,185.2006896551724
10.0,-50.0,2,179.97620689655176
10.0,-45.0,2,166.86334482758625
10.0,-40.0,2,175.18248275862067
10.0,-35.0,2,160.86241379310349
10.0,-30.0,2,149.11162068965518
10.0,-25.0,2,123.91186206896553
10.0,-20.0,2,102.40037931034485
15.0,-100.0,2,61.67279310344828
15.0,-95.0,2,63.30664285714285
15.0,-85.0,2,188.92548275862072
15.0,-80.0,2,201.16903448275866
15.0,-75.0,2,201.09310344827585
15.0,-70.0,2,196.35082758620692
15.0,-65.0,2,189.65641379310344
15.0,-60.0,2,197.402275862069
15.0,-55.0,2,189.63331034482758
15.0,-50.0,2,199.62996551724137
15.0,-45.0,2,205.93148275862066
15.0,-40.0,2,195.27351724137932
15.0,-35.0,2,191.8253448275862
15.0,-30.0,2,178.9910344827586
15.0,-25.0,2,150.11924137931032
15.0,-20.0,2,114.47131034482759
20.0,-95.0,2,192.81235714285714
20.0,-90.0,2,187.01896551724136
20.0,-85.0,2,190.80351724137932
20.0,-80.0,2,196.12299999999996
20.0,-75.0,2,206.3991724137931
20.0,-70.0,2,205.89406896551725
20.0,-65.0,2,208.09734482758626
20.0,-60.0,2,208.8513448275862
20.0,-55.0,2,209.0310344827586
20.0,-50.0,2,208.04189655172408
20.0,-45.0,2,207.8140344827586
20.0,-40.0,2,207.97551724137932
20.0,-35.0,2,209.75255172413796
20.0,-30.0,2,204.4912413793103
20.0,-25.0,2,202.8437241379311
20.0,-20.0,2,165.69203448275866
25.0,-95.0,2,188.19237931034485
25.0,-90.0,2,190.90168965517245
25.0,-85.0,2,180.87244
25.0,-80.0,2,204.07106896551724
25.0,-75.0,2,207.97558620689657
25.0,-70.0,2,211.40855172413796
25.0,-65.0,2,211.34989655172416
25.0,-60.0,2,209.22972413793104
25.0,-55.0,2,210.7218275862069
25.0,-50.0,2,212.41124137931033
25.0,-45.0,2,214.99341379310343
25.0,-40.0,2,216.7768620689655
25.0,-35.0,2,220.8548275862069
25.0,-30.0,2,222.5461724137931
25.0,-25.0,2,221.45917241379308
25.0,-20.0,2,217.47834482758614
25.0,-15.0,2,217.9893103448276
30.0,-80.0,2,206.1107586206897
30.0,-75.0,2,218.33510344827585
30.0,-70.0,2,220.89810344827586
30.0,-65.0,2,220.30168965517242
30.0,-60.0,2,222.38248148148148
30.0,-55.0,2,218.69866666666672
30.0,-50.0,2,222.09431034482756
30.0,-40.0,2,222.36465517241382
30.0,-35.0,2,228.49148275862072
30.0,-30.0,2,224.29524137931034
30.0,-25.0,2,226.98589655172415
30.0,-20.0,2,225.7237931034483
30.0,-15.0,2,225.50924137931034
30.0,-10.0,2,228.77241379310342
-15.0,-100.0,3,155.81106896551725
-15.0,-95.0,3,155.784
-15.0,-90.0,3,135.05944827586205
-15.0,-85.0,3,116.04955172413791
-15.0,-80.0,3,50.75931034482758
-15.0,-40.0,3,196.65011764705883
-15.0,-35.0,3,191.92444827586212
-15.0,-30.0,3,200.33613793103447
-15.0,-25.0,3,200.78872413793104
-15.0,-20.0,3,178.53279310344826
-15.0,-15.0,3,172.79066666666665
-15.0,-10.0,3,169.7231724137931
