lat,lon,date,sst
34.5,-99.5,2023-12-01,28.378002
34.5,-99.5,2024-01-01,28.265001
34.5,-99.5,2024-02-01,28.278002
34.5,-99.5,2024-03-01,27.735
34.5,-99.5,2024-04-01,27.230001
34.5,-99.5,2024-05-01,26.945002
34.5,-99.5,2024-06-01,26.808
34.5,-99.5,2024-07-01,27.090002
34.5,-94.5,2004-08-01,
34.5,-94.5,2004-09-01,
34.5,-94.5,2004-10-01,
34.5,-94.5,2004-11-01,
34.5,-94.5,2004-12-01,
34.5,-94.5,2005-01-01,
34.5,-94.5,2005-02-01,
34.5,-94.5,2005-03-01,
34.5,-94.5,2005-04-01,27.373001
34.5,-94.5,2005-05-01,28.11
34.5,-94.5,2005-06-01,28.048002
34.5,-94.5,2005-07-01,28.055002
34.5,-94.5,2005-08-01,28.375002
34.5,-94.5,2005-09-01,28.713001
34.5,-94.5,2005-10-01,28.970001
34.5,-94.5,2005-11-01,29.035002
34.5,-94.5,2005-12-01,28.898
34.5,-94.5,2006-01-01,28.705002
34.5,-94.5,2006-02-01,28.668001
34.5,-94.5,2006-03-01,28.613
34.5,-94.5,2006-04-01,
34.5,-94.5,2006-05-01,29.278002
34.5,-94.5,2006-06-01,29.12
34.5,-94.5,2006-07-01,
34.5,-94.5,2006-08-01,
34.5,-94.5,2006-09-01,
34.5,-94.5,2006-10-01,
34.5,-94.5,2006-11-01,28.798002
34.5,-94.5,2006-12-01,28.775002
34.5,-94.5,2007-01-01,28.890001
34.5,-94.5,2007-02-01,28.648
34.5,-94.5,2007-03-01,28.660002
34.5,-94.5,2007-04-01,28.765001
34.5,-94.5,2007-05-01,28.970001
34.5,-94.5,2007-06-01,29.338001
34.5,-94.5,2007-07-01,29.423002
34.5,-94.5,2007-08-01,29.45
34.5,-94.5,2007-09-01,29.313002
34.5,-94.5,2007-10-01,29.238
34.5,-94.5,2007-11-01,29.028002
34.5,-94.5,2007-12-01,28.660002
34.5,-94.5,2008-01-01,28.408
34.5,-94.5,2008-02-01,28.350002
34.5,-94.5,2008-03-01,28.458002
34.5,-94.5,2008-04-01,
34.5,-94.5,2008-05-01,
34.5,-94.5,2008-06-01,29.158
34.5,-94.5,2008-07-01,29.213001
34.5,-94.5,2008-08-01,29.363
34.5,-94.5,2008-09-01,29.350002
34.5,-94.5,2008-10-01,29.240002
34.5,-94.5,2008-11-01,29.163002
34.5,-94.5,2008-12-01,29.128002
34.5,-94.5,2009-01-01,29.230001
34.5,-94.5,2009-02-01,29.355001
34.5,-94.5,2009-03-01,29.518002
34.5,-94.5,2009-04-01,29.485
34.5,-94.5,2009-05-01,29.378002
34.5,-94.5,2009-06-01,29.293001
34.5,-94.5,2009-07-01,29.138
34.5,-94.5,2009-08-01,28.638
34.5,-94.5,2009-09-01,28.548002
34.5,-94.5,2009-10-01,28.153002
34.5,-94.5,2009-11-01,28.358002
34.5,-94.5,2009-12-01,28.978
34.5,-94.5,2010-01-01,
34.5,-94.5,2010-02-01,28.903002
34.5,-94.5,2010-03-01,29.433
34.5,-94.5,2010-04-01,29.28
34.5,-94.5,2010-05-01,29.320002
34.5,-94.5,2010-06-01,29.140001
34.5,-94.5,2010-07-01,29.175001
34.5,-94.5,2010-08-01,29.268002
34.5,-94.5,2010-09-01,29.418001
34.5,-94.5,2010-10-01,29.515001
34.5,-94.5,2010-11-01,29.648
34.5,-94.5,2010-12-01,29.660002
34.5,-94.5,2011-01-01,29.570002
34.5,-94.5,2011-02-01,29.410002
34.5,-94.5,2011-03-01,29.210001
34.5,-94.5,2011-04-01,28.033
34.5,-94.5,2011-05-01,28.388
34.5,-94.5,2011-06-01,28.625002
34.5,-94.5,2011-07-01,29.070002
34.5,-94.5,2011-08-01,29.445002
34.5,-94.5,2011-09-01,29.12
34.5,-94.5,2011-10-01,29.413002
34.5,-94.5,2011-11-01,
34.5,-94.5,2011-12-01,29.215002
34.5,-94.5,2012-01-01,28.993002
34.5,-94.5,2012-02-01,29.160002
34.5,-94.5,2012-03-01,29.368002
34.5,-94.5,2012-04-01,29.333002
34.5,-94.5,2012-05-01,29.193
34.5,-94.5,2012-06-01,29.080002
34.5,-94.5,2012-07-01,29.268002
34.5,-94.5,2012-08-01,29.655
34.5,-94.5,2012-09-01,29.855001
34.5,-94.5,2012-10-01,29.910002
34.5,-94.5,2012-11-01,30.035002
34.5,-94.5,2012-12-01,28.560001
34.5,-94.5,2013-01-01,28.685001
34.5,-94.5,2013-02-01,28.713001
34.5,-94.5,2013-03-01,28.970001
34.5,-94.5,2013-04-01,
34.5,-94.5,2013-05-01,29.02
34.5,-94.5,2013-06-01,
34.5,-94.5,2013-07-01,
34.5,-94.5,2013-08-01,28.128002
34.5,-94.5,2013-09-01,27.815
34.5,-94.5,2013-10-01,28.063002
34.5,-94.5,2013-11-01,29.510002
34.5,-94.5,2013-12-01,29.173002
34.5,-94.5,2014-01-01,29.260002
34.5,-94.5,2014-02-01,29.378002
34.5,-94.5,2014-03-01,29.683
34.5,-94.5,2014-04-01,30.003002
34.5,-94.5,2014-05-01,30.258001
34.5,-94.5,2014-06-01,30.310001
34.5,-94.5,2014-07-01,30.310001
34.5,-94.5,2014-08-01,28.02
34.5,-94.5,2014-09-01,28.063002
34.5,-94.5,2014-10-01,28.273
34.5,-94.5,2014-11-01,28.210001
34.5,-94.5,2014-12-01,28.393002
34.5,-94.5,2015-01-01,
34.5,-94.5,2015-02-01,28.350002
34.5,-94.5,2015-03-01,27.848001
34.5,-94.5,2015-04-01,27.468
34.5,-94.5,2015-05-01,27.180002
34.5,-94.5,2015-06-01,26.155
34.5,-94.5,2015-07-01,26.408
34.5,-94.5,2015-08-01,
34.5,-94.5,2015-09-01,
34.5,-94.5,2015-10-01,
34.5,-94.5,2015-11-01,28.818
34.5,-94.5,2015-12-01,29.545002
34.5,-94.5,2016-01-01,30.010002
34.5,-94.5,2016-02-01,30.198002
34.5,-94.5,2016-03-01,30.073002
34.5,-94.5,2016-04-01,26.300001
34.5,-94.5,2016-05-01,26.865002
34.5,-94.5,2016-06-01,27.145
34.5,-94.5,2016-07-01,27.185001
34.5,-94.5,2016-08-01,26.658
34.5,-94.5,2016-09-01,26.260002
34.5,-94.5,2016-10-01,25.998001
34.5,-94.5,2016-11-01,26.295002
34.5,-94.5,2016-12-01,26.903002
34.5,-94.5,2017-01-01,27.528002
34.5,-94.5,2017-02-01,27.383001
34.5,-94.5,2017-03-01,26.428001
34.5,-94.5,2017-04-01,26.11
34.5,-94.5,2017-05-01,25.230001
34.5,-94.5,2017-06-01,25.993002
34.5,-94.5,2017-07-01,27.138
34.5,-94.5,2017-08-01,28.003002
34.5,-94.5,2017-09-01,28.485
34.5,-94.5,2017-10-01,28.890001
34.5,-94.5,2017-11-01,29.078001
34.5,-94.5,2017-12-01,
34.5,-94.5,2018-01-01,
34.5,-94.5,2018-02-01,
34.5,-94.5,2018-03-01,
34.5,-94.5,2018-04-01,
34.5,-94.5,2018-05-01,
34.5,-94.5,2018-06-01,
34.5,-94.5,2018-07-01,
34.5,-94.5,2018-08-01,20.19
34.5,-94.5,2018-09-01,20.283
34.5,-94.5,2018-10-01,21.778002
34.5,-94.5,2018-11-01,
34.5,-94.5,2018-12-01,24.515001
34.5,-94.5,2019-01-01,25.220001
34.5,-94.5,2019-02-01,25.343
34.5,-94.5,2019-03-01,24.415
34.5,-94.5,2019-04-01,23.830002
34.5,-94.5,2019-05-01,23.368002
34.5,-94.5,2019-06-01,22.775002
34.5,-94.5,2019-07-01,22.685001
34.5,-94.5,2019-08-01,
34.5,-94.5,2019-09-01,
34.5,-94.5,2019-10-01,
34.5,-94.5,2019-11-01,
34.5,-94.5,2019-12-01,
34.5,-94.5,2020-01-01,
34.5,-94.5,2020-02-01,
34.5,-94.5,2020-03-01,
34.5,-94.5,2020-04-01,
34.5,-94.5,2020-05-01,24.640001
34.5,-94.5,2020-06-01,26.300001
34.5,-94.5,2020-07-01,26.745
34.5,-94.5,2020-08-01,27.050001
34.5,-94.5,2020-09-01,27.178001
34.5,-94.5,2020-10-01,27.188002
34.5,-94.5,2020-11-01,26.473001
34.5,-94.5,2020-12-01,25.960001
34.5,-94.5,2021-01-01,25.465002
34.5,-94.5,2021-02-01,24.973001
34.5,-94.5,2021-03-01,24.963001
34.5,-94.5,2021-04-01,
34.5,-94.5,2021-05-01,
34.5,-94.5,2021-06-01,
34.5,-94.5,2021-07-01,
34.5,-94.5,2021-08-01,
34.5,-94.5,2021-09-01,
34.5,-94.5,2021-10-01,
34.5,-94.5,2021-11-01,
34.5,-94.5,2021-12-01,25.130001
34.5,-94.5,2022-01-01,27.000002
34.5,-94.5,2022-02-01,27.228
34.5,-94.5,2022-03-01,27.893002
34.5,-94.5,2022-04-01,28.465002
34.5,-94.5,2022-05-01,28.628002
34.5,-94.5,2022-06-01,28.470001
34.5,-94.5,2022-07-01,28.255001
34.5,-94.5,2022-08-01,27.905
34.5,-94.5,2022-09-01,27.663002
34.5,-94.5,2022-10-01,27.558
34.5,-94.5,2022-11-01,27.393002
34.5,-94.5,2022-12-01,
34.5,-94.5,2023-01-01,29.313002
34.5,-94.5,2023-02-01,29.538002
34.5,-94.5,2023-03-01,
34.5,-94.5,2023-04-01,
34.5,-94.5,2023-05-01,
34.5,-94.5,2023-06-01,
34.5,-94.5,2023-07-01,27.278002
34.5,-94.5,2023-08-01,27.515001
34.5,-94.5,2023-09-01,27.703001
34.5,-94.5,2023-10-01,28.060001
34.5,-94.5,2023-11-01,28.438002
34.5,-94.5,2023-12-01,28.760002
34.5,-94.5,2024-01-01,28.978
34.5,-94.5,2024-02-01,29.135002
34.5,-94.5,2024-03-01,29.008001
34.5,-94.5,2024-04-01,28.983002
34.5,-94.5,2024-05-01,28.763
34.5,-94.5,2024-06-01,28.658
34.5,-94.5,2024-07-01,28.485
34.5,-89.5,2004-08-01,28.720001
34.5,-89.5,2004-09-01,28.45
34.5,-89.5,2004-10-01,28.555002
34.5,-89.5,2004-11-01,28.920002
34.5,-89.5,2004-12-01,
34.5,-89.5,2005-01-01,
34.5,-89.5,2005-02-01,27.745
34.5,-89.5,2005-03-01,28.648
34.5,-89.5,2005-04-01,29.12
34.5,-89.5,2005-05-01,28.710001
34.5,-89.5,2005-06-01,29.018002
34.5,-89.5,2005-07-01,29.063002
34.5,-89.5,2005-08-01,29.143002
34.5,-89.5,2005-09-01,29.295002
34.5,-89.5,2005-10-01,29.388
34.5,-89.5,2005-11-01,29.475002
34.5,-89.5,2005-12-01,29.445002
34.5,-89.5,2006-01-01,29.380001
34.5,-89.5,2006-02-01,29.285002
34.5,-89.5,2006-03-01,29.173002
34.5,-89.5,2006-04-01,28.663002
34.5,-89.5,2006-05-01,28.583002
34.5,-89.5,2006-06-01,28.215002
34.5,-89.5,2006-07-01,28.383001
34.5,-89.5,2006-08-01,28.863
34.5,-89.5,2006-09-01,
