,year,month,lon_rounded_up,lat_rounded_up,chlor_a
264,2004,5,-65,10,
265,2004,5,-65,15,0.23337514973590662
266,2004,5,-65,20,0.16155402676338937
267,2004,5,-65,25,0.03149844872226054
268,2004,5,-65,30,0.027728898531599547
269,2004,5,-65,35,0.06217966249961217
270,2004,5,-60,-10,
271,2004,5,-60,-5,15.219718615214031
272,2004,5,-60,0,19.111359365461833
273,2004,5,-60,5,
274,2004,5,-60,10,4.872265473307139
275,2004,5,-60,15,0.6243340386508849
276,2004,5,-60,20,0.16967790894220242
277,2004,5,-60,25,0.029866469982568426
278,2004,5,-60,30,0.029145271549521196
279,2004,5,-60,35,0.07755833123863733
280,2004,5,-55,-10,40.89250140568567
281,2004,5,-55,-5,
282,2004,5,-55,0,14.129119226342882
283,2004,5,-55,5,14.87134500407668
284,2004,5,-55,10,1.7332623179994429
285,2004,5,-55,15,0.5820013647104948
286,2004,5,-55,20,0.1564798526375574
287,2004,5,-55,25,0.026788225823052594
288,2004,5,-55,30,0.027751919415507677
289,2004,5,-55,35,0.06901433697600455
290,2004,5,-50,-10,
291,2004,5,-50,-5,
292,2004,5,-50,0,15.80068160654069
293,2004,5,-50,5,9.69414186610568
294,2004,5,-50,10,2.2207563806774715
295,2004,5,-50,15,0.41443902824466977
296,2004,5,-50,20,0.21741968817282878
297,2004,5,-50,25,0.029421561887056174
298,2004,5,-50,30,0.027368386520175068
299,2004,5,-50,35,0.05432277148421977
300,2004,5,-45,-10,13.895458695454392
301,2004,5,-45,-5,
302,2004,5,-45,0,5.227308228612931
303,2004,5,-45,5,2.2304555174021696
304,2004,5,-45,10,0.21715419865239735
305,2004,5,-45,15,0.11064611453912662
306,2004,5,-45,20,0.04497419663631001
307,2004,5,-45,25,0.026386261256052774
308,2004,5,-45,30,0.027981249310875235
309,2004,5,-45,35,0.0578925849425408
310,2004,5,-40,-10,9.422420501708984
311,2004,5,-40,-5,10.864911551081608
312,2004,5,-40,0,0.5449732870367322
313,2004,5,-40,5,0.10461732667757825
314,2004,5,-40,10,0.10646698424735136
315,2004,5,-40,15,0.09594286098269277
316,2004,5,-40,20,0.04504517657251202
317,2004,5,-40,25,0.02684794716500674
318,2004,5,-40,30,0.027852439658009164
319,2004,5,-40,35,0.07675129016459259
320,2004,5,-35,-10,0.23514007560801553
321,2004,5,-35,-5,0.7218662270584275
322,2004,5,-35,0,0.19264687199722758
323,2004,5,-35,5,0.10963859258612106
324,2004,5,-35,10,0.12717013101269317
325,2004,5,-35,15,0.09612441340455187
326,2004,5,-35,20,0.056475801372383165
327,2004,5,-35,25,0.033208745164821626
328,2004,5,-35,30,0.027281795869981293
329,2004,5,-35,35,0.06411270106580227
330,2004,5,-30,-10,0.03513172191293273
331,2004,5,-30,-5,0.1032652851098172
332,2004,5,-30,0,0.10633599303339555
333,2004,5,-30,5,0.12197985162476106
334,2004,5,-30,10,0.1392202246392918
335,2004,5,-30,15,0.11096404195749959
336,2004,5,-30,20,0.08506462260537133
337,2004,5,-30,25,0.0490122429734128
338,2004,5,-30,30,0.03196134776547073
339,2004,5,-30,35,0.06365174974226435
340,2004,5,-25,-10,0.03610274365721382
341,2004,5,-25,-5,0.0703701378702646
342,2004,5,-25,0,0.10684289971494035
343,2004,5,-25,5,0.1350154423485978
344,2004,5,-25,10,0.14904555942939832
345,2004,5,-25,15,0.1522133105294361
346,2004,5,-25,20,0.11129390066191432
347,2004,5,-25,25,0.07329951634575717
348,2004,5,-25,30,0.0417125913635105
349,2004,5,-25,35,0.06475710691354791
350,2004,5,-20,-10,0.03450134444473952
351,2004,5,-20,-5,0.07362055222397931
352,2004,5,-20,0,0.13626660663974277
353,2004,5,-20,5,0.1775116695091095
354,2004,5,-20,10,0.1780526992858445
355,2004,5,-20,15,0.28090133080909874
356,2004,5,-20,20,0.590601827997406
357,2004,5,-20,25,0.15549451580764664
358,2004,5,-20,30,0.04963714646896538
359,2004,5,-20,35,0.061782928621799044
360,2004,5,-15,-10,0.03946829688779498
361,2004,5,-15,-5,0.07058717322389835
362,2004,5,-15,0,0.15334438667168107
363,2004,5,-15,5,0.1750038338810411
364,2004,5,-15,10,0.23877761080026497
365,2004,5,-15,15,2.7332540175063733
366,2004,5,-15,20,5.449878952938987
367,2004,5,-15,25,1.7795934285781798
368,2004,5,-15,30,0.11657138505377146
369,2004,5,-15,35,0.08354333718386844
370,2004,5,-10,-10,0.04758747157020446
371,2004,5,-10,-5,0.08535581488848246
372,2004,5,-10,0,0.17849749180159225
373,2004,5,-10,5,0.19158913758127144
374,2004,5,-10,10,0.563508804409525
375,2004,5,-10,15,5.161922671028191
376,2004,5,-10,20,
377,2004,5,-10,25,2.596327194193053
378,2004,5,-10,30,0.6209372438697455
379,2004,5,-10,35,0.1419803556677431
380,2004,5,-5,-10,0.06232758990110773
381,2004,5,-5,-5,0.08741430740137811
382,2004,5,-5,0,0.2116304925989236
383,2004,5,-5,5,0.23355912106699683
384,2004,5,-5,10,1.2442858656299076
385,2004,5,-5,15,
386,2004,5,-5,20,
387,2004,5,-5,25,
388,2004,5,-5,30,2.4231238554768244
389,2004,5,-5,35,1.1557492399614182
390,2004,5,0,-10,0.08396263739933524
391,2004,5,0,-5,0.12329665016049929
392,2004,5,0,0,0.2128110746742585
393,2004,5,0,5,0.22482281940322987
394,2004,5,0,10,1.423004943434807
395,2004,5,0,15,
396,2004,5,0,20,
397,2004,5,0,25,
398,2004,5,0,30,
399,2004,5,0,35,
400,2004,6,-95,-10,0.10316534837218223
401,2004,6,-95,-5,0.1246861132913898
402,2004,6,-95,0,0.17146504417584635
403,2004,6,-95,5,0.17998601366490005
404,2004,6,-95,10,0.13519890304041984
405,2004,6,-95,15,0.17696199964499534
406,2004,6,-95,20,0.33076413234179586
407,2004,6,-95,25,0.2512419362033808
408,2004,6,-95,30,0.7440776370841748
409,2004,6,-95,35,40.67245674133301
410,2004,6,-90,-10,0.11714842388507724
411,2004,6,-90,-5,0.13771677719482173
412,2004,6,-90,0,0.23549066849574432
413,2004,6,-90,5,0.23332048483457102
414,2004,6,-90,10,0.2493551300850916
415,2004,6,-90,15,0.9747192028542778
416,2004,6,-90,20,0.8658133988846777
417,2004,6,-90,25,0.22033519317768088
418,2004,6,-90,30,1.169682321299463
419,2004,6,-90,35,21.092085984307108
420,2004,6,-85,-10,0.13951461395415007
421,2004,6,-85,-5,0.17707232054457392
422,2004,6,-85,0,0.22020271611232364
423,2004,6,-85,5,0.18106437175003945
424,2004,6,-85,10,0.266200108444211
425,2004,6,-85,15,9.468716446630049
426,2004,6,-85,20,0.9194073930207116
427,2004,6,-85,25,0.2101636465423635
428,2004,6,-85,30,0.5386754025397721
429,2004,6,-85,35,4.290199955516914
430,2004,6,-80,-10,0.16974677601593308
431,2004,6,-80,-5,0.7953322033473179
432,2004,6,-80,0,0.915474097624946
433,2004,6,-80,5,0.20754442020209604
434,2004,6,-80,10,0.686845769015795
435,2004,6,-80,15,7.099707440052365
436,2004,6,-80,20,0.11444976099653854
437,2004,6,-80,25,0.40222475613490505
438,2004,6,-80,30,0.7862927219179069
439,2004,6,-80,35,1.6424413626346734
440,2004,6,-75,-10,1.3849453600652333
441,2004,6,-75,-5,1.721625537356189
442,2004,6,-75,0,4.545160211087306
443,2004,6,-75,5,0.7544097520297173
444,2004,6,-75,10,1.3905256792914709
445,2004,6,-75,15,0.20093953821758578
446,2004,6,-75,20,0.07814541631319204
447,2004,6,-75,25,0.41992218476745113
448,2004,6,-75,30,0.19997307254663832
449,2004,6,-75,35,0.23655771333642306
450,2004,6,-70,-10,10.390789760483635
451,2004,6,-70,-5,
452,2004,6,-70,0,
453,2004,6,-70,5,
454,2004,6,-70,10,23.90363599186369
455,2004,6,-70,15,3.7534078387167136
456,2004,6,-70,20,0.10808457043492843
457,2004,6,-70,25,0.04325548836543283
458,2004,6,-70,30,0.02893631926734538
459,2004,6,-70,35,0.04188659698720661
460,2004,6,-65,-10,7.655318808934045
461,2004,6,-65,-5,
462,2004,6,-65,0,20.280017852783203
463,2004,6,-65,5,
464,2004,6,-65,10,
465,2004,6,-65,15,0.3654640167039869
466,2004,6,-65,20,0.1719953413462808
467,2004,6,-65,25,0.032422993743255454
468,2004,6,-65,30,0.027203529486818655
469,2004,6,-65,35,0.04774147132956139
470,2004,6,-60,-10,9.0911226272583
471,2004,6,-60,-5,42.58288176854452
472,2004,6,-60,0,22.217002168818127
473,2004,6,-60,5,
474,2004,6,-60,10,14.168861219749054
475,2004,6,-60,15,2.1236350030603908
476,2004,6,-60,20,0.15018110959842834
477,2004,6,-60,25,0.030110516888774957
478,2004,6,-60,30,0.025715211362490924
479,2004,6,-60,35,0.05551945020684934
480,2004,6,-55,-10,48.00183725811186
481,2004,6,-55,-5,
482,2004,6,-55,0,19.599863365387968
483,2004,6,-55,5,16.428868737055623
484,2004,6,-55,10,2.0394010349433676
485,2004,6,-55,15,0.5557321568104294
486,2004,6,-55,20,0.3374758159818677
487,2004,6,-55,25,0.03236960616941145
488,2004,6,-55,30,0.024897102773920342
489,2004,6,-55,35,0.0492582833486281
490,2004,6,-50,-10,
491,2004,6,-50,-5,
492,2004,6,-50,0,20.23998171807549
493,2004,6,-50,5,9.882763545055278
494,2004,6,-50,10,2.665803176987995
495,2004,6,-50,15,0.6098343162621047
496,2004,6,-50,20,0.2258896648171156
497,2004,6,-50,25,0.03283287033010286
498,2004,6,-50,30,0.02535326207607188
499,2004,6,-50,35,0.04373006801911459
500,2004,6,-45,-10,16.785738805824376
501,2004,6,-45,-5,
502,2004,6,-45,0,4.677947039907723
503,2004,6,-45,5,1.2145617479448338
504,2004,6,-45,10,0.24597655029638407
505,2004,6,-45,15,0.09566433367484474
506,2004,6,-45,20,0.05274441355953293
507,2004,6,-45,25,0.028571629777931953
508,2004,6,-45,30,0.023538073846686002
509,2004,6,-45,35,0.04800297148549963
510,2004,6,-40,-10,10.266972303390503
511,2004,6,-40,-5,7.582384842100376
512,2004,6,-40,0,0.44584221770411847
513,2004,6,-40,5,0.12975992148941315
514,2004,6,-40,10,0.10319317080079235
515,2004,6,-40,15,0.09106575523947698
516,2004,6,-40,20,0.04860788927730638
517,2004,6,-40,25,0.032128735343137864
518,2004,6,-40,30,0.024155472166765606
519,2004,6,-40,35,0.05455210400291176
520,2004,6,-35,-10,0.20185018199786667
521,2004,6,-35,-5,0.8712822376848848
522,2004,6,-35,0,0.1816167311735441
523,2004,6,-35,5,0.14057498464838564
524,2004,6,-35,10,0.1151290522143672
525,2004,6,-35,15,0.0893570205564652
526,2004,6,-35,20,0.05599322138605555
527,2004,6,-35,25,0.03629379211149248
528,2004,6,-35,30,0.02324465566343706
529,2004,6,-35,35,0.0451328436032687
530,2004,6,-30,-10,0.04900863757692531
531,2004,6,-30,-5,0.10775405168505599
532,2004,6,-30,0,0.12159081670790621
533,2004,6,-30,5,0.174223965993514
534,2004,6,-30,10,0.13510507555722512
535,2004,6,-30,15,0.0943736818646217
536,2004,6,-30,20,0.08026673829421029
537,2004,6,-30,25,0.0466437213134318
538,2004,6,-30,30,0.02856011109861672
539,2004,6,-30,35,0.04141005034454695
540,2004,6,-25,-10,0.050490189158787745
541,2004,6,-25,-5,0.08766568487131929
542,2004,6,-25,0,0.1481909060092778
543,2004,6,-25,5,0.23210353602469208
544,2004,6,-25,10,0.14286401320445133
545,2004,6,-25,15,0.13340059030180892
546,2004,6,-25,20,0.11118589885526253
547,2004,6,-25,25,0.07189027864158473
548,2004,6,-25,30,0.03471448952854753
549,2004,6,-25,35,0.0451337045183571
550,2004,6,-20,-10,0.04658340016783618
551,2004,6,-20,-5,0.0851869304775812
552,2004,6,-20,0,0.2089611857678553
553,2004,6,-20,5,0.3494548889726317
554,2004,6,-20,10,0.16205097877457236
555,2004,6,-20,15,0.18483223757683714
556,2004,6,-20,20,1.30698758157703
557,2004,6,-20,25,0.14734572185520073
558,2004,6,-20,30,0.04165526158182796
559,2004,6,-20,35,0.04143811252838171
560,2004,6,-15,-10,0.052501247829381814
561,2004,6,-15,-5,0.098334507672146
562,2004,6,-15,0,0.3277908397824158
563,2004,6,-15,5,0.6524426161697381
564,2004,6,-15,10,0.18246672450411078
565,2004,6,-15,15,0.9992990597584911
566,2004,6,-15,20,6.764587631149548
567,2004,6,-15,25,2.679267871550927
568,2004,6,-15,30,0.10644785106721397
569,2004,6,-15,35,0.055713121919540615
570,2004,6,-10,-10,0.06204441999855918
571,2004,6,-10,-5,0.10961596434510892
572,2004,6,-10,0,0.4005154508851393
573,2004,6,-10,5,0.5686713695090846
574,2004,6,-10,10,0.751845917796486
575,2004,6,-10,15,2.5399393864567323
576,2004,6,-10,20,
577,2004,6,-10,25,3.2210126617952946
578,2004,6,-10,30,0.9905713782336328
579,2004,6,-10,35,0.12504828312748925
580,2004,6,-5,-10,0.07962867397875513
581,2004,6,-5,-5,0.11561906663486161
582,2004,6,-5,0,0.42696643546856805
583,2004,6,-5,5,0.7764023829032034
584,2004,6,-5,10,3.542629590578578
585,2004,6,-5,15,
586,2004,6,-5,20,
587,2004,6,-5,25,
588,2004,6,-5,30,1.631421090975624
589,2004,6,-5,35,2.0386272760719546
590,2004,6,0,-10,0.11646646122040986
591,2004,6,0,-5,0.20737537174416834
592,2004,6,0,0,0.5086825418353227
593,2004,6,0,5,0.399023209023537
594,2004,6,0,10,3.5236127216535555
595,2004,6,0,15,
596,2004,6,0,20,
597,2004,6,0,25,
598,2004,6,0,30,
599,2004,6,0,35,
600,2004,7,-95,-10,0.10980880400556844
601,2004,7,-95,-5,0.12457114126798674
602,2004,7,-95,0,0.18449156910566636
603,2004,7,-95,5,0.1840830732861679
604,2004,7,-95,10,0.1975407574256637
605,2004,7,-95,15,0.19032863202319503
606,2004,7,-95,20,0.4111211290426234
607,2004,7,-95,25,0.24092603999407922
608,2004,7,-95,30,0.5974342384403165
609,2004,7,-95,35,37.91045888264974
610,2004,7,-90,-10,0.12475837981121542
611,2004,7,-90,-5,0.13344855756982263
612,2004,7,-90,0,0.28656455588144597
613,2004,7,-90,5,0.23628672241174903
614,2004,7,-90,10,0.5271954801111368
615,2004,7,-90,15,0.670372744945956
616,2004,7,-90,20,1.3093016898553214
617,2004,7,-90,25,0.24544154732651174
618,2004,7,-90,30,1.603550402659583
619,2004,7,-90,35,17.5193673192235
620,2004,7,-85,-10,0.1515923006985488
621,2004,7,-85,-5,0.17133242888359015
622,2004,7,-85,0,0.1816904133397074
